Gramática didáctica tojolabal / Skujlayub’il b’a sje’jel ju’un tojol-ab’al. Schab’il te’ile,"Gómez Jiménez, Pablo"
Tsípikuarirhi p’urhepecha uantanskua jimpo,"Monzón, Cristina"
Tsípikuarirhi p’urhepecha uantanskua jimpo,"Monzón, Cristina"
Alfabeto ilustrado de la lengua mocho’,"Juárez Jiménez, Víctor Manuel"
Alfabeto ilustrado de la lengua mocho’,"Juárez Jiménez, Víctor Manuel"
Protocolo de actuación para peritos intérpretes-traductores en lenguas originarias mexicanas,"Cruz Huerta, Jacinto"
Protocolo de actuación para peritos intérpretes-traductores en lenguas originarias mexicanas,"Cruz Huerta, Jacinto"
Alfabeto ilustrado de la lengua mocho’,"Juárez Jiménez, Víctor Manuel"
Alfabeto ilustrado de la lengua mocho’,"Juárez Jiménez, Víctor Manuel"
Gramática didáctica mocho’ segundo ciclo / Its’bal chu ts’iba we took´ didaaktika mocho’ kabil siiklo,"Juárez Jiménez, Víctor Manuel"
Gramática didáctica mocho’ segundo ciclo / Its’bal chu ts’iba we took´ didaaktika mocho’ kabil siiklo,"Juárez Jiménez, Víctor Manuel"
Ma timomachtikaj mexkatl. Lamoch momachtijketl / libro del alumno,"Martínez Silva, Eusebia"
Ma timomachtikaj mexkatl. Lamoch momachtijketl / libro del alumno,"Martínez Silva, Eusebia"
Ma timomachtijkaj mexkatl. Lamoch tlamachtikej / Guía del facilitador,"Martínez Silva, Eusebia"
Ma timomachtijkaj mexkatl. Lamoch tlamachtikej / Guía del facilitador,"Martínez Silva, Eusebia"
Las partes del cuerpo humano en mam,"Quintana Hernández, Francisca"
Las partes del cuerpo humano en mam,"Quintana Hernández, Francisca"
"Cuadernillo de instituciones y organizaciones públicas y privadas nacionales e internacionales que promueven el desarrollo integral de las comunidades, organizaciones y pueblos hablantes de lenguas indígenas",-----------
"Cuadernillo de instituciones y organizaciones públicas y privadas nacionales e internacionales que promueven el desarrollo integral de las comunidades, organizaciones y pueblos hablantes de lenguas indígenas",-----------
Manual para el candidato en el estándar de competencia ECOO15: “Interpretación oral de lengua indígena al español y viceversa en el ámbito de procuración y administración de justicia”,-----------
Manual para el candidato en el estándar de competencia ECOO15: “Interpretación oral de lengua indígena al español y viceversa en el ámbito de procuración y administración de justicia”,-----------
"Léxico relativo a las partes del cuerpo en popoluca de San Pedro Soteapan, Veracruz","Domínguez Ramos, Miguel Ángel"
"Léxico relativo a las partes del cuerpo en popoluca de San Pedro Soteapan, Veracruz","Domínguez Ramos, Miguel Ángel"
El Museo Nacional de 1825 a 1876: organigrama histórico,"Guerrero Crespo, Claudia"
"Ley General de Protección de datos en Posesión de Sujetos Obligados, comentada","Solange Maqueo, María (Coord.)"
"Ley General de Transparencia y Acceso a la Información Pública, comentada","Islas López, Jorge (Coord.)"
